#Data Set Export - Water Elevation (AHD).Field Visits@RN005723,,,,
Latest telemetry data is sourced directly from logging devices and is unverified. No guarantee is made as to the accuracy or reliability of the data until it is approved. Use with caution.,,,,
Timestamp (UTC+09:30),Event Timestamp (UTC+09:30),Value (m),,
17/10/1984 0:00,,549.09,,
24/10/1984 0:00,,549.1,,
31/10/1984 0:00,,549.05,,
7/11/1984 0:00,,549.1,,
14/11/1984 0:00,,549.07,,
21/11/1984 0:00,,549.09,,
28/11/1984 0:00,,549.08,,
5/12/1984 0:00,,549.07,,
12/12/1984 0:00,,549.1,,
19/12/1984 0:00,,549.09,,
26/12/1984 0:00,,549.1,,
2/01/1985 0:00,,549.07,,
9/01/1985 0:00,,549.05,,
16/01/1985 0:00,,549.06,,
23/01/1985 0:00,,549.05,,
30/01/1985 0:00,,549.05,,
6/02/1985 0:00,,549.05,,
13/02/1985 0:00,,549.05,,
20/02/1985 0:00,,549.04,,
27/02/1985 0:00,,549.04,,
6/03/1985 0:00,,549.04,,
13/03/1985 0:00,,549.02,,
20/03/1985 0:00,,548.97,,
27/03/1985 0:00,,548.98,,
3/04/1985 0:00,,548.96,,
10/04/1985 0:00,,548.96,,
17/04/1985 0:00,,548.96,,
24/04/1985 0:00,,548.94,,
1/05/1985 0:00,,548.95,,
8/05/1985 0:00,,548.96,,
15/05/1985 0:00,,548.95,,
22/05/1985 0:00,,548.95,,
29/05/1985 0:00,,548.99,,
5/06/1985 0:00,,548.91,,
12/06/1985 0:00,,548.94,,
19/06/1985 0:00,,548.96,,
26/06/1985 0:00,,548.93,,
3/07/1985 0:00,,548.95,,
10/07/1985 0:00,,548.95,,
17/07/1985 0:00,,548.92,,
24/07/1985 0:00,,548.94,,
31/07/1985 0:00,,548.94,,
7/08/1985 0:00,,548.98,,
14/08/1985 0:00,,548.99,,
21/08/1985 0:00,,549.01,,
28/08/1985 0:00,,549,,
4/09/1985 0:00,,548.93,,
11/09/1985 0:00,,548.95,,
18/09/1985 0:00,,549.03,,
25/09/1985 0:00,,548.98,,
2/10/1985 0:00,,548.95,,
9/10/1985 0:00,,548.94,,
16/10/1985 0:00,,549,,
23/10/1985 0:00,,548.94,,
30/10/1985 0:00,,548.94,,
6/11/1985 0:00,,548.95,,
13/11/1985 0:00,,548.95,,
20/11/1985 0:00,,548.91,,
27/11/1985 0:00,,548.93,,
4/12/1985 0:00,,548.94,,
11/12/1985 0:00,,548.92,,
18/12/1985 0:00,,548.91,,
25/12/1985 0:00,,548.9,,
1/01/1986 0:00,,548.91,,
8/01/1986 0:00,,548.9,,
15/01/1986 0:00,,548.91,,
22/01/1986 0:00,,548.91,,
29/01/1986 0:00,,548.88,,
5/02/1986 0:00,,548.86,,
12/02/1986 0:00,,548.88,,
19/02/1986 0:00,,548.84,,
26/02/1986 0:00,,548.86,,
5/03/1986 0:00,,548.83,,
12/03/1986 0:00,,548.81,,
19/03/1986 0:00,,548.85,,
26/03/1986 0:00,,548.83,,
2/04/1986 0:00,,548.8,,
9/04/1986 0:00,,548.81,,
16/04/1986 0:00,,548.78,,
23/04/1986 0:00,,548.8,,
30/04/1986 0:00,,548.78,,
7/05/1986 0:00,,548.82,,
14/05/1986 0:00,,548.8,,
21/05/1986 0:00,,548.81,,
28/05/1986 0:00,,548.76,,
4/06/1986 0:00,,548.76,,
11/06/1986 0:00,,548.82,,
18/06/1986 0:00,,548.83,,
25/06/1986 0:00,,548.78,,
30/06/1986 0:00,,548.85,,
2/07/1986 0:00,,548.83,,
9/07/1986 0:00,,548.78,,
16/07/1986 0:00,,548.83,,
23/07/1986 0:00,,548.86,,
30/07/1986 0:00,,548.78,,
6/08/1986 0:00,,548.81,,
13/08/1986 0:00,,548.9,,
20/08/1986 0:00,,548.8,,
27/08/1986 0:00,,548.8,,
3/09/1986 0:00,,548.78,,
10/09/1986 0:00,,548.83,,
17/09/1986 0:00,,548.82,,
24/09/1986 0:00,,548.83,,
1/10/1986 0:00,,548.84,,
8/10/1986 0:00,,548.87,,
15/10/1986 0:00,,548.8,,
22/10/1986 0:00,,548.86,,
29/10/1986 0:00,,548.8,,
5/11/1986 0:00,,548.82,,
12/11/1986 0:00,,548.81,,
19/11/1986 0:00,,548.74,,
26/11/1986 0:00,,548.79,,
3/12/1986 0:00,,548.77,,
10/12/1986 0:00,,548.77,,
17/12/1986 0:00,,548.76,,
24/12/1986 0:00,,548.74,,
31/12/1986 0:00,,548.73,,
7/01/1987 0:00,,548.77,,
14/01/1987 0:00,,548.74,,
21/01/1987 0:00,,548.79,,
28/01/1987 0:00,,548.72,,
4/02/1987 0:00,,548.75,,
11/02/1987 0:00,,548.75,,
18/02/1987 0:00,,548.75,,
25/02/1987 0:00,,548.73,,
4/03/1987 0:00,,548.7,,
11/03/1987 0:00,,548.69,,
18/03/1987 0:00,,548.75,,
25/03/1987 0:00,,548.71,,
1/04/1987 0:00,,548.68,,
8/04/1987 0:00,,548.72,,
15/04/1987 0:00,,548.68,,
22/04/1987 0:00,,548.67,,
29/04/1987 0:00,,548.68,,
6/05/1987 0:00,,548.67,,
13/05/1987 0:00,,548.72,,
20/05/1987 0:00,,548.68,,
27/05/1987 0:00,,548.68,,
3/06/1987 0:00,,548.7,,
10/06/1987 0:00,,548.71,,
17/06/1987 0:00,,548.7,,
24/06/1987 0:00,,548.69,,
1/07/1987 0:00,,548.68,,
8/07/1987 0:00,,548.67,,
15/07/1987 0:00,,548.72,,
22/07/1987 0:00,,548.66,,
29/07/1987 0:00,,548.69,,
5/08/1987 0:00,,548.66,,
12/08/1987 0:00,,548.68,,
19/08/1987 0:00,,548.68,,
26/08/1987 0:00,,548.75,,
2/09/1987 0:00,,548.77,,
9/09/1987 0:00,,548.72,,
16/09/1987 0:00,,548.69,,
23/09/1987 0:00,,548.68,,
30/09/1987 0:00,,548.66,,
7/10/1987 0:00,,548.75,,
14/10/1987 0:00,,548.72,,
21/10/1987 0:00,,548.73,,
28/10/1987 0:00,,548.68,,
4/11/1987 0:00,,548.64,,
11/11/1987 0:00,,548.68,,
18/11/1987 0:00,,548.7,,
25/11/1987 0:00,,548.67,,
2/12/1987 0:00,,548.63,,
9/12/1987 0:00,,548.66,,
16/12/1987 0:00,,548.69,,
23/12/1987 0:00,,548.69,,
30/12/1987 0:00,,548.64,,
6/01/1988 0:00,,548.63,,
13/01/1988 0:00,,548.67,,
20/01/1988 0:00,,548.63,,
27/01/1988 0:00,,548.63,,
3/02/1988 0:00,,548.62,,
10/02/1988 0:00,,548.63,,
17/02/1988 0:00,,548.6,,
24/02/1988 0:00,,548.61,,
2/03/1988 0:00,,548.61,,
9/03/1988 0:00,,548.64,,
16/03/1988 0:00,,548.56,,
23/03/1988 0:00,,548.64,,
30/03/1988 0:00,,548.58,,
6/04/1988 0:00,,548.56,,
13/04/1988 0:00,,548.53,,
20/04/1988 0:00,,548.56,,
27/04/1988 0:00,,548.55,,
4/05/1988 0:00,,548.61,,
11/05/1988 0:00,,548.51,,
18/05/1988 0:00,,548.5,,
25/05/1988 0:00,,548.55,,
1/06/1988 0:00,,548.54,,
8/06/1988 0:00,,548.57,,
15/06/1988 0:00,,548.57,,
22/06/1988 0:00,,548.5,,
29/06/1988 0:00,,548.56,,
6/07/1988 0:00,,548.58,,
13/07/1988 0:00,,548.57,,
20/07/1988 0:00,,548.59,,
27/07/1988 0:00,,548.53,,
3/08/1988 0:00,,548.58,,
10/08/1988 0:00,,548.54,,
17/08/1988 0:00,,548.6,,
24/08/1988 0:00,,548.57,,
31/08/1988 0:00,,548.58,,
7/09/1988 0:00,,548.58,,
14/09/1988 0:00,,548.54,,
21/09/1988 0:00,,548.58,,
28/09/1988 0:00,,548.61,,
5/10/1988 0:00,,548.59,,
12/10/1988 0:00,,548.55,,
19/10/1988 0:00,,548.56,,
26/10/1988 0:00,,548.54,,
2/11/1988 0:00,,548.57,,
9/11/1988 0:00,,548.55,,
16/11/1988 0:00,,548.5,,
23/11/1988 0:00,,548.54,,
30/11/1988 0:00,,548.52,,
7/12/1988 0:00,,548.54,,
14/12/1988 0:00,,548.53,,
21/12/1988 0:00,,548.58,,
28/12/1988 0:00,,548.51,,
4/01/1989 0:00,,548.52,,
11/01/1989 0:00,,548.5,,
18/01/1989 0:00,,548.51,,
25/01/1989 0:00,,548.52,,
1/02/1989 0:00,,548.51,,
8/02/1989 0:00,,548.5,,
15/02/1989 0:00,,548.48,,
22/02/1989 0:00,,548.46,,
1/03/1989 0:00,,548.48,,
8/03/1989 0:00,,548.48,,
15/03/1989 0:00,,548.46,,
22/03/1989 0:00,,548.47,,
29/03/1989 0:00,,548.45,,
5/04/1989 0:00,,548.49,,
12/04/1989 0:00,,548.56,,
19/04/1989 0:00,,548.55,,
26/04/1989 0:00,,548.59,,
3/05/1989 0:00,,548.55,,
10/05/1989 0:00,,548.55,,
17/05/1989 0:00,,548.57,,
24/05/1989 0:00,,548.55,,
31/05/1989 0:00,,548.46,,
7/06/1989 0:00,,548.45,,
14/06/1989 0:00,,548.44,,
21/06/1989 0:00,,548.42,,
28/06/1989 0:00,,548.44,,
5/07/1989 0:00,,548.45,,
12/07/1989 0:00,,548.47,,
19/07/1989 0:00,,548.45,,
26/07/1989 0:00,,548.44,,
2/08/1989 0:00,,548.46,,
9/08/1989 0:00,,548.45,,
16/08/1989 0:00,,548.44,,
23/08/1989 0:00,,548.43,,
25/08/1989 0:00,,548.47,,
30/08/1989 0:00,,548.51,,
6/09/1989 0:00,,548.46,,
13/09/1989 0:00,,548.45,,
20/09/1989 0:00,,548.47,,
27/09/1989 0:00,,548.42,,
4/10/1989 0:00,,548.49,,
11/10/1989 0:00,,548.46,,
18/10/1989 0:00,,548.46,,
25/10/1989 0:00,,548.48,,
1/11/1989 0:00,,548.42,,
8/11/1989 0:00,,548.43,,
15/11/1989 0:00,,548.47,,
22/11/1989 0:00,,548.46,,
29/11/1989 0:00,,548.43,,
6/12/1989 0:00,,548.42,,
13/12/1989 0:00,,548.45,,
20/12/1989 0:00,,548.43,,
27/12/1989 0:00,,548.42,,
3/01/1990 0:00,,548.42,,
10/01/1990 0:00,,548.43,,
17/01/1990 0:00,,548.44,,
24/01/1990 0:00,,548.43,,
31/01/1990 0:00,,548.4,,
7/02/1990 0:00,,548.37,,
9/02/1990 0:00,,548.38,,
14/02/1990 0:00,,548.39,,
21/02/1990 0:00,,548.39,,
28/02/1990 0:00,,548.41,,
7/03/1990 0:00,,548.4,,
14/03/1990 0:00,,548.37,,
21/03/1990 0:00,,548.39,,
28/03/1990 0:00,,548.34,,
4/04/1990 0:00,,548.37,,
11/04/1990 0:00,,548.37,,
18/04/1990 0:00,,548.34,,
25/04/1990 0:00,,548.37,,
2/05/1990 0:00,,548.34,,
9/05/1990 0:00,,548.36,,
16/05/1990 0:00,,548.4,,
23/05/1990 0:00,,548.37,,
30/05/1990 0:00,,548.37,,
6/06/1990 0:00,,548.36,,
13/06/1990 0:00,,548.36,,
20/06/1990 0:00,,548.33,,
27/06/1990 0:00,,548.35,,
4/07/1990 0:00,,548.34,,
11/07/1990 0:00,,548.37,,
18/07/1990 0:00,,548.37,,
25/07/1990 0:00,,548.38,,
1/08/1990 0:00,,548.33,,
8/08/1990 0:00,,548.36,,
15/08/1990 0:00,,548.37,,
22/08/1990 0:00,,548.35,,
29/08/1990 0:00,,548.39,,
5/09/1990 0:00,,548.34,,
12/09/1990 0:00,,548.35,,
19/09/1990 0:00,,548.39,,
26/09/1990 0:00,,548.35,,
3/10/1990 0:00,,548.37,,
10/10/1990 0:00,,548.39,,
17/10/1990 0:00,,548.37,,
24/10/1990 0:00,,548.34,,
31/10/1990 0:00,,548.38,,
7/11/1990 0:00,,548.38,,
14/11/1990 0:00,,548.37,,
21/11/1990 0:00,,548.36,,
28/11/1990 0:00,,548.35,,
5/12/1990 0:00,,548.37,,
12/12/1990 0:00,,548.3,,
19/12/1990 0:00,,548.35,,
26/12/1990 0:00,,548.33,,
2/01/1991 0:00,,548.35,,
9/01/1991 0:00,,548.31,,
16/01/1991 0:00,,548.29,,
23/01/1991 0:00,,548.34,,
30/01/1991 0:00,,548.28,,
6/02/1991 0:00,,548.4,,
13/02/1991 0:00,,548.33,,
20/02/1991 0:00,,548.33,,
27/02/1991 0:00,,548.27,,
6/03/1991 0:00,,548.3,,
11/03/1991 0:00,,548.31,,
13/03/1991 0:00,,548.27,,
20/03/1991 0:00,,548.27,,
27/03/1991 0:00,,548.25,,
3/04/1991 0:00,,548.23,,
10/04/1991 0:00,,548.28,,
17/04/1991 0:00,,548.25,,
24/04/1991 0:00,,548.31,,
1/05/1991 0:00,,548.27,,
8/05/1991 0:00,,548.25,,
15/05/1991 0:00,,548.24,,
22/05/1991 0:00,,548.28,,
29/05/1991 0:00,,548.29,,
5/06/1991 0:00,,548.32,,
12/06/1991 0:00,,548.29,,
19/06/1991 0:00,,548.32,,
26/06/1991 0:00,,548.29,,
3/07/1991 0:00,,548.29,,
10/07/1991 0:00,,548.29,,
17/07/1991 0:00,,548.32,,
24/07/1991 0:00,,548.32,,
31/07/1991 0:00,,548.34,,
7/08/1991 0:00,,548.3,,
14/08/1991 0:00,,548.29,,
21/08/1991 0:00,,548.33,,
28/08/1991 0:00,,548.37,,
4/09/1991 0:00,,548.33,,
11/09/1991 0:00,,548.31,,
18/09/1991 0:00,,548.85,,
25/09/1991 0:00,,548.33,,
2/10/1991 0:00,,548.33,,
9/10/1991 0:00,,548.3,,
16/10/1991 0:00,,548.33,,
23/10/1991 0:00,,548.32,,
30/10/1991 0:00,,548.32,,
6/11/1991 0:00,,548.33,,
13/11/1991 0:00,,548.33,,
20/11/1991 0:00,,548.3,,
26/11/1991 0:00,,548.32,,
4/12/1991 0:00,,548.33,,
11/12/1991 0:00,,548.3,,
18/12/1991 0:00,,548.3,,
25/12/1991 0:00,,548.29,,
1/01/1992 0:00,,548.29,,
8/01/1992 0:00,,548.28,,
15/01/1992 0:00,,548.26,,
22/01/1992 0:00,,548.25,,
29/01/1992 0:00,,548.25,,
5/02/1992 0:00,,548.3,,
12/02/1992 0:00,,548.29,,
19/02/1992 0:00,,548.28,,
26/02/1992 0:00,,548.24,,
4/03/1992 0:00,,548.24,,
11/03/1992 0:00,,548.23,,
18/03/1992 0:00,,548.21,,
25/03/1992 0:00,,548.23,,
1/04/1992 0:00,,548.22,,
8/04/1992 0:00,,548.21,,
15/04/1992 0:00,,548.22,,
22/04/1992 0:00,,548.22,,
29/04/1992 0:00,,548.24,,
6/05/1992 0:00,,548.22,,
13/05/1992 0:00,,548.23,,
20/05/1992 0:00,,548.22,,
27/05/1992 0:00,,548.22,,
2/06/1992 0:00,,548.23,,
10/06/1992 0:00,,548.21,,
17/06/1992 0:00,,548.27,,
24/06/1992 0:00,,548.22,,
1/07/1992 0:00,,548.23,,
8/07/1992 0:00,,548.22,,
15/07/1992 0:00,,548.22,,
22/07/1992 0:00,,548.22,,
29/07/1992 0:00,,548.26,,
5/08/1992 0:00,,548.3,,
12/08/1992 0:00,,548.27,,
19/08/1992 0:00,,548.22,,
26/08/1992 0:00,,548.3,,
2/09/1992 0:00,,548.29,,
9/09/1992 0:00,,548.28,,
16/09/1992 0:00,,548.26,,
23/09/1992 0:00,,548.28,,
30/09/1992 0:00,,548.25,,
7/10/1992 0:00,,548.27,,
14/10/1992 0:00,,548.27,,
21/10/1992 0:00,,548.22,,
28/10/1992 0:00,,548.28,,
4/11/1992 0:00,,548.26,,
11/11/1992 0:00,,548.24,,
18/11/1992 0:00,,548.28,,
25/11/1992 0:00,,548.25,,
2/12/1992 0:00,,548.28,,
9/12/1992 0:00,,548.23,,
16/12/1992 0:00,,548.23,,
23/12/1992 0:00,,548.25,,
30/12/1992 0:00,,548.22,,
6/01/1993 0:00,,548.22,,
13/01/1993 0:00,,548.22,,
20/01/1993 0:00,,548.22,,
27/01/1993 0:00,,548.24,,
3/02/1993 0:00,,548.22,,
10/02/1993 0:00,,548.23,,
17/02/1993 0:00,,548.22,,
24/02/1993 0:00,,548.22,,
3/03/1993 0:00,,548.18,,
10/03/1993 0:00,,548.19,,
17/03/1993 0:00,,548.21,,
24/03/1993 0:00,,548.19,,
31/03/1993 0:00,,548.18,,
7/04/1993 0:00,,548.17,,
14/04/1993 0:00,,548.15,,
21/04/1993 0:00,,548.17,,
28/04/1993 0:00,,548.18,,
5/05/1993 0:00,,548.17,,
12/05/1993 0:00,,548.21,,
19/05/1993 0:00,,548.15,,
26/05/1993 0:00,,548.14,,
2/06/1993 0:00,,548.2,,
9/06/1993 0:00,,548.19,,
16/06/1993 0:00,,548.16,,
23/06/1993 0:00,,548.17,,
30/06/1993 0:00,,548.22,,
7/07/1993 0:00,,548.19,,
14/07/1993 0:00,,548.23,,
21/07/1993 0:00,,548.17,,
28/07/1993 0:00,,548.23,,
4/08/1993 0:00,,548.17,,
11/08/1993 0:00,,548.17,,
18/08/1993 0:00,,548.14,,
25/08/1993 0:00,,548.21,,
1/09/1993 0:00,,548.2,,
8/09/1993 0:00,,548.21,,
15/09/1993 0:00,,548.2,,
22/09/1993 0:00,,548.17,,
29/09/1993 0:00,,548.21,,
6/10/1993 0:00,,548.18,,
13/10/1993 0:00,,548.22,,
20/10/1993 0:00,,548.17,,
27/10/1993 0:00,,548.22,,
3/11/1993 0:00,,548.18,,
10/11/1993 0:00,,548.23,,
17/11/1993 0:00,,548.23,,
24/11/1993 0:00,,548.17,,
1/12/1993 0:00,,548.18,,
8/12/1993 0:00,,548.18,,
15/12/1993 0:00,,548.17,,
22/12/1993 0:00,,548.18,,
29/12/1993 0:00,,548.15,,
5/01/1994 0:00,,548.2,,
12/01/1994 0:00,,548.15,,
19/01/1994 0:00,,548.15,,
26/01/1994 0:00,,548.16,,
2/02/1994 0:00,,548.14,,
9/02/1994 0:00,,548.13,,
16/02/1994 0:00,,548.13,,
23/02/1994 0:00,,548.15,,
2/03/1994 0:00,,548.13,,
9/03/1994 0:00,,548.08,,
9/11/2002 8:15,,547.6,,
6/10/2004 11:55,,547.4,,
14/10/2004 14:33,,547.418,,
16/05/2005 15:45,,547.36,,
19/08/2008 12:51,,547.11,,
26/10/2009 16:45,,,543.97,<-- is this an error?
8/06/2010 9:39,,546.9,,
30/11/2010 10:00,,546.88,,
26/07/2011 14:36,,546.84,,
19/06/2012 11:47,,546.76,,
12/03/2013 13:44,,546.69,,
10/09/2014 9:48,,546.54,,
9/02/2017 13:05,,546.55,,
11/08/2017 11:13,,546.44,,
24/08/2018 11:00,,546.365,,
22/08/2019 11:10,,546.3,,
26/11/2019 12:47,,546.27,,
18/08/2022 16:20,,546.08,,
22/06/2023 10:54,,546.02,,
26/10/2023 13:54,,545.99,,
29/08/2024 9:08,,545.92,,
11/12/2024 15:45,,545.91,,
